Count_Out,Count_In,station_id,station_name,longitude,latitude
76459,75894,480,"Flamborough Street, Limehouse",-0.0389866,51.5129
76420,82677,587,"Monument Street, Monument",-0.08497,51.5096
76189,72203,821,"Battersea Power Station, Battersea Park",-0.147702349,51.48351589
75825,72170,214,"Endsleigh Gardens, Euston",-0.130504,51.5268
75584,76870,138,"Green Street, Mayfair",-0.157437,51.5123
75436,82099,5,"Sedding Street, Sloane Square",-0.156876,51.4931
75367,89013,233,"Pall Mall East, West End",-0.1307,51.5078
74704,76375,119,"Bath Street, St. Luke's",-0.0908478,51.5259
74553,72979,239,"Warren Street Station, Euston",-0.138019,51.5244
73802,75123,789,"Podium, Queen Elizabeth Olympic Park",-0.0118895,51.5387
73505,71954,680,"Westbridge Road, Battersea",-0.170329,51.4777
73115,75662,135,"Clerkenwell Green, Clerkenwell",-0.104709,51.5233
72408,67954,512,"Pritchard's Road, Bethnal Green",-0.06142,51.5321
72335,74025,638,"Falcon Road, Clapham Junction",-0.169821,51.4666
72256,75884,85,"Tanner Street, Bermondsey",-0.07860039999999999,51.5006
72055,74781,203,"West Smithfield Rotunda, Farringdon",-0.100791,51.5182
71888,72126,804,"Good's Way, King's Cross",-0.125079,51.5347
71836,87669,703,"St. Bride Street, Holborn",-0.105344,51.5151
71344,78973,773,"Tallis Street, Temple",-0.107349,51.5119
70915,85748,583,"Abingdon Green, Westminster",-0.125978,51.4976
70827,82345,331,"Bunhill Row, Moorgate",-0.08988789999999999,51.5209
70796,77499,136,"Queen Victoria Street, St. Paul's",-0.0974417,51.512
70517,69463,503,"Cleveland Way, Stepney",-0.051394,51.5209
70404,70267,24,"British Museum, Bloomsbury",-0.124678,51.5191
70185,60705,25,"Doric Way, Somers Town",-0.13225,51.5288
70008,84672,360,"Howick Place, Westminster",-0.138734,51.4968
69924,69277,264,"Tysoe Street, Clerkenwell",-0.109257,51.5264
69613,83428,252,"Jubilee Gardens, South Bank",-0.116542,51.5046
68756,74368,83,"Panton Street, West End",-0.131511,51.5096
